SALES_NAME;DIVISION;CUSTOMER_NAME;CUSTOMER_SAP;CUSTOMER_STATUS;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ADIT;FF BP;TIRTA INVESTAMA;3000009257;Existing;1350000000;1350000000;1350000000;1350000000;1000000000;1350000000;1350000000;2000000000;2000000000;2000000000;2000000000;2000000000
ADIT;FF BP;MUSIMAS GROUP;;Existing;120000000;0;120000000;0;120000000;0;120000000;;;;;
ADIT;FF BP;CATUR MITRA SEJATI SENTOSA;3000001105;Existing;0;0;0;0;0;0;;;;;;
ADIT;FF BP;ROLIMEX KIMIA NUSAMAS;3000011817;Existing;0;0;0;0;0;0;;;;;;
ADIT;FF BP;DUNIA KIMIA JAYA;8000000015;Existing;35000000;35000000;35000000;40000000;20000000;40000000;50000000;50000000;50000000;50000000;45000000;45000000
ADIT;FF BP;UNIVERSAL STEELINDO DINAMIKA;3000016892;Existing;75000000;75000000;75000000;75000000;40000000;50000000;50000000;50000000;50000000;50000000;50000000;75000000
ADIT;FF BP;MITRAMULIA MAKMUR;3000019455;Existing;0;0;0;0;0;0;;;;;;
ADIT;FF BP;ATLANTIC OCEAN PAINT;3000000615;Existing;15000000;15000000;15000000;15000000;15000000;15000000;15000000;50000000;50000000;50000000;50000000;40000000
ADIT;FF BP;BEHN MEYER CHEMICALS;3211070000;Existing;50000000;50000000;50000000;50000000;25000000;25000000;40000000;25000000;25000000;25000000;25000000;25000000
ADIT;FF BP;INDOFOOD CBP SUKSES MAKMUR Tbk;3000002495;Existing;20000000;20000000;20000000;20000000;10000000;20000000;20000000;20000000;20000000;20000000;20000000;20000000
ADIT;FF BP;INDOFOOD SUKSES MAKMUR TBK;3000002496;Existing;7500000;7500000;7500000;7500000;7500000;7500000;10000000;10000000;10000000;10000000;10000000;10000000
ADIT;FF BP;PEMUDA PRIMA USAHA;3000020980;Existing;0;0;0;0;0;0;;;;;;
ADIT;FF BP;TRISULAMAS SAKTI;3000007827;Existing;0;0;0;0;0;0;;;;;;
ADIT;FF BP;MAQPRO BIOTECH INDONESIA;3000017469;Existing;18000000;18000000;18000000;18000000;18000000;18000000;18000000;10000000;10000000;10000000;10000000;10000000
ADIT;FF BP;GOLD COIN INDONESIA;3000002009;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;SEJAHTERA MITRA TRISUKSES;3000015283;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;GLOBE EXPRESS LOGISTICS CO.LTD;3000007275;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;FF BP;SINAR MAS AGRO RESOURCES AND;3000005193;Existing;200000000;230000000;250000000;200000000;200000000;250000000;260000000;250000000;250000000;250000000;250000000;250000000
EDWIN;FF BP;GCM MARKETING SOLUTIONS INDONESIA;3000019518;Existing;40000000;45000000;50000000;20000000;20000000;35000000;40000000;20000000;20000000;20000000;20000000;20000000
EDWIN;FF BP;LAUTAN LUAS TBK;8000000010;Existing;50000000;55000000;60000000;30000000;30000000;40000000;50000000;55000000;60000000;50000000;55000000;60000000
EDWIN;FF BP;PERTAMINA PETROCHEMICAL TRADING;3000020764;Existing;50000000;75000000;100000000;30000000;30000000;60000000;100000000;100000000;100000000;100000000;100000000;100000000
EDWIN;FF BP;ELECTROLUX INDONESIA;3211020000;Existing;;;;;;;;;;;;
EDWIN;FF BP;LIKU TELAGA;8000000017;Existing;0;0;15000000;0;0;15000000;0;15000000;15000000;15000000;15000000;15000000
EDWIN;FF BP;RAPINDO PLASTAMA;3000004648;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;FF BP;INSERASENA;3000002599;Existing;0;0;0;0;0;0;;;;;;
EDWIN;FF BP;SCIENTEX INDONESIA;3000007677;Existing;12000000;15000000;20000000;10000000;10000000;20000000;25000000;50000000;50000000;50000000;50000000;50000000
EDWIN;FF BP;JADI MAS;3000002723;Existing;0;0;0;0;0;0;;;;;;
EDWIN;FF BP;AZELIS INDONESIA DISTRIBUSI;3000019640;Existing;5000000;5000000;5000000;5000000;5000000;5000000;5000000;5000000;5000000;5000000;5000000;5000000
ZUFEN;FF BP;INDONESIA PRATAMA MULTIPAK;3000013037;Existing;;;;;;;;;;;;
ZUFEN;FF BP;PKG LAUTAN INDONESIA;8000000520;Existing;;;;;;;;;;;;
ADIT;FF BP;DOMUSINDO PERDANA;;New;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;LINTAS MITRA JAYA;;New;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;INDOSPRING TBK;3000019189;New;;;;;;;;;;;;
EDWIN;FF BP;PRIMA MAS MAKMUR;3000007612;New;;;;;;;;;;;;
EDWIN;FF BP;UNIPLASTINDO INTERBUANA;3000010657;New;5000000;6000000;7000000;4000000;4000000;6000000;7000000;40500000;37500000;36000000;37500000;39000000
ADIT;FF BP;ASIA TRADE LOGISTICS;;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;JACOBIS;;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;SIANTAR TOP;;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;TUMBAK MAS;;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;AVIAN GROUP ;;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;WARU GUNUNG;3000006280;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;JADIMAS;;Potential;;;;;;;;;;;;
ADIT;FF BP;ASIA PULP & PAPER;;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;GRAND MULTI CHEMICALS;;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;FF BP;VISTON SPESIALISASI;;Potential;50000000;50000000;50000000;25000000;50000000;50000000;50000000;0;0;0;0;0
EDWIN;FF BP;AJINOMOTO INDONESIA;3000000215;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;FF BP;INDOCERIA;;Potential;20000000;30000000;40000000;10000000;10000000;30000000;40000000;0;0;0;;
EDWIN;FF BP;ALLNEX RESIN;;Potential;10000000;15000000;17000000;10000000;10000000;20000000;25000000;0;0;0;0;0
