SALES_NAME;DIVISION;CUSTOMER_NAME;CUSTOMER_SAP;CUSTOMER_STATUS;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ADIT;Bulk Trans;ROLIMEX KIMIA NUSAMAS;3000011817;Existing;0;0;200000000;0;200000000;0;200000000;;;;;
ADIT;Bulk Trans;DUNIA KIMIA JAYA;8000000015;Existing;50000000;0;0;50000000;0;0;50000000;;;;;
EDWIN;Bulk Trans;LAUTAN LUAS TBK;8000000010;Existing;250000000;250000000;250000000;300000000;200000000;250000000;200000000;200000000;200000000;200000000;200000000;200000000
EDWIN;Bulk Trans;PETROKIMIA GRESIK;3000004389;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Bulk Trans;TOYA INDO MANUNGGAL;;New;100000000;0;0;100000000;0;0;100000000;0;130000000;130000000;130000000;130000000
ADIT;Bulk Trans;AGROFARM NUSA RAYA;;New;0;0;0;0;0;0;;;;;;
ADIT;Bulk Trans;BUANA NIAGA PERKASA;;New;0;0;0;0;0;0;0;;;;;
EDWIN;Bulk Trans;SUMBER HASIL PRIMA;;Potential;40000000;45000000;50000000;15000000;15000000;40000000;50000000;80000000;80000000;80000000;80000000;80000000
EDWIN;Bulk Trans;CLARIANT;;Potential;80000000;80000000;85000000;85000000;90000000;90000000;70000000;80000000;80000000;80000000;80000000;80000000
