SALES_NAME;DIVISION;CUSTOMER_NAME;CUSTOMER_SAP;CUSTOMER_STATUS;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ADIT;Bulk Trans;ROLIMEX KIMIA NUSAMAS;3000011817;Existing;;;;;;;;;0;340000000;0;200000000
ADIT;Bulk Trans;DUNIA KIMIA JAYA;8000000015;Existing;;;;;;;;;0;50000000;0;0
EDWIN;Bulk Trans;LAUTAN LUAS TBK;8000000010;Existing;;;;;;;;;200000000;200000000;200000000;200000000
EDWIN;Bulk Trans;PETROKIMIA GRESIK;3000004389;Existing;;;;;;;;;30000000;35000000;0;0
ADIT;Bulk Trans;TOYA INDO MANUNGGAL;0;New;;;;;;;;;0;40000000;0;0
ADIT;Bulk Trans;AGROFARM NUSA RAYA;;New;;;;;;;;;0;0;0;0
ADIT;Bulk Trans;BUANA NIAGA PERKASA;;New;;;;;;;;;0;0;0;0
EDWIN;Bulk Trans;SUMBER HASIL PRIMA;;Potential;;;;;;;;;;;;
EDWIN;Bulk Trans;CLARIANT;;Potential;;;;;;;;;150000000;150000000;150000000;150000000
