SALES_NAME;DIVISION;CUSTOMER_NAME;CUSTOMER_SAP;CUSTOMER_STATUS;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ADIT;Pack Trans;TIRTA INVESTAMA;3000009257;Existing;1350000000;900000000;1000000000;1200000000;900000000;1000000000;1200000000;900000000;900000000;900000000;900000000;900000000
ADIT;Pack Trans;NIRWANA LESTARI;3000007550;Existing;370000000;250000000;300000000;330000000;250000000;300000000;300000000;270000000;250000000;240000000;250000000;260000000
ADIT;Pack Trans;GREENFIELDS DAIRY INDONESIA;0;Existing;250000000;300000000;300000000;175000000;200000000;250000000;300000000;225000000;250000000;250000000;300000000;300000000
ADIT;Pack Trans;INBISCO NIAGATAMA SEMESTA;3000018615;Existing;400000000;425000000;450000000;250000000;300000000;350000000;400000000;200000000;200000000;200000000;200000000;200000000
ADIT;Pack Trans;KINO FOOD INDONESIA;3000017669;Existing;100000000;110000000;125000000;50000000;100000000;110000000;125000000;;;;;
ADIT;Pack Trans;WARU GUNUNG;3000006280;Existing;75000000;75000000;80000000;40000000;50000000;60000000;75000000;;;;;
ADIT;Pack Trans;UNICHEMCANDI INDONESIA;3000009294;Existing;100000000;150000000;175000000;100000000;150000000;175000000;175000000;100000000;100000000;100000000;100000000;100000000
ADIT;Pack Trans;MULTI ANUGERAH LESTARI TEXINDO;3000003865;Existing;75000000;80000000;85000000;50000000;75000000;80000000;85000000;40000000;40000000;40000000;40000000;40000000
ADIT;Pack Trans;OMYA INDONESIA;3000004138;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;QL HASIL LAUT;0;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;BATARA ELOK SEMESTA;3000008794;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;MITRA MULIA;3000019455;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;SUKSES LINTAS PULAU;3000020742;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;THE UNIVENUS;3000005833;Existing;75000000;80000000;85000000;50000000;60000000;70000000;80000000;;;;;
ADIT;Pack Trans;UNIFOOD CANDI INDONESIA;3000020869;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;MIKATASA AGUNG;3000003715;Existing;50000000;60000000;60000000;25000000;40000000;45000000;50000000;;;;;
ADIT;Pack Trans;BEHN MEYER CHEMICALS;3211070000;Existing;7500000;5000000;7500000;7500000;5000000;7500000;7500000;;;;;
ADIT;Pack Trans;RAPID PLAST INDONESIA;3000014770;Existing;50000000;60000000;70000000;30000000;40000000;45000000;50000000;25000000;25000000;25000000;25000000;25000000
ADIT;Pack Trans;PASIFIC HARVEST;3000016893;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;MAQPRO BIOTECH INDONESIA;3000017469;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;JATIM MUSTIKA SARANA STEEL;3000010143;Existing;0;0;0;0;0;0;;;;;;
ADIT;Pack Trans;AQUA GOLDEN MISSISSIPPI;3000015223;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;SINAR MAS AGRO RESOURCES AND;3000005193;Existing;150000000;200000000;250000000;250000000;150000000;200000000;200000000;200000000;200000000;200000000;225000000;250000000
EDWIN;Pack Trans;LAUTAN LUAS TBK;8000000010;Existing;250000000;300000000;310000000;200000000;200000000;300000000;350000000;250000000;250000000;250000000;250000000;250000000
EDWIN;Pack Trans;AJINOMOTO SALES INDONESIA;3000000217;Existing;50000000;75000000;100000000;20000000;20000000;60000000;70000000;140000000;140000000;140000000;140000000;140000000
EDWIN;Pack Trans;SINAR SOSRO;3000005216;Existing;40000000;50000000;100000000;20000000;20000000;60000000;70000000;120000000;120000000;120000000;120000000;120000000
EDWIN;Pack Trans;SCIENTEX INDONESIA;3000007677;Existing;45000000;50000000;60000000;20000000;20000000;40000000;50000000;;;;;
EDWIN;Pack Trans;RAPINDO PLASTAMA;3000004648;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;ECCO TANNERY INDONESIA;3000001618;Existing;40000000;55000000;60000000;20000000;20000000;40000000;50000000;30000000;30000000;30000000;30000000;30000000
EDWIN;Pack Trans;LIKU TELAGA;8000000017;Existing;15000000;0;15000000;0;15000000;0;15000000;;;;;
EDWIN;Pack Trans;ADITYA RIZKY VALENTINO;3000019373;Existing;6000000;6000000;6000000;6000000;6000000;6000000;6000000;;;;;
EDWIN;Pack Trans;GCM MARKETING SOLUTIONS INDONESIA;3000019518;Existing;15000000;20000000;30000000;5000000;5000000;20000000;25000000;;;;;
EDWIN;Pack Trans;PERTAMINA PETROCHEMICAL TRADING;3000020764;Existing;5000000;5000000;5000000;5000000;5000000;5000000;5000000;;;;;
EDWIN;Pack Trans;ADYA MANDALA PERSADA;3000019596;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;CIPTA MAPAN LOGISTIK;8000000019;Existing;6000000;6000000;6000000;6000000;6000000;6000000;;;;;;
EDWIN;Pack Trans;VEOLIA SERVICES INDONESIA;3000021348;Existing;30000000;35000000;40000000;10000000;10000000;40000000;50000000;13500000;12500000;12000000;12500000;13000000
EDWIN;Pack Trans;DYNAPLAST;3000001607;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;AZELIS INDONESIA DISTRIBUSI;3000019640;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;ANDALAN DUNIA SEMESTA;3000014429;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;HASA PRIMA KIMIA;3000020184;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;MEGA MURNI KIMIA;3000009517;Existing;0;0;0;0;0;0;;;;;;
EDWIN;Pack Trans;LOTTE GLOBAL LOGISTICS INDONESIA;0;Existing;0;5000000;0;5000000;0;5000000;0;;;;;
ADIT;Pack Trans;DAYASA ARIA PRIMA;0;New;100000000;100000000;100000000;50000000;75000000;80000000;100000000;150000000;150000000;150000000;150000000;150000000
ADIT;Pack Trans;ANUGERAH MITRA ANANTA;3000021761;New;75000000;85000000;95000000;40000000;75000000;80000000;85000000;;;;;
ADIT;Pack Trans;GLOBAL INTERINTI INDUSTRY;0;New;30000000;35000000;40000000;20000000;25000000;30000000;35000000;0;0;0;0;0
